Date,Open,High,Low,Close,Volume,Crypto
2022-10-15 00:00:00+00:00,17173.556640625,17197.818359375,17024.796875,17068.107421875,14494236753,BTC-GBP
2022-10-16 00:00:00+00:00,17069.251953125,17239.103515625,17069.251953125,17139.875,16001986840,BTC-GBP
2022-10-17 00:00:00+00:00,17140.291015625,17310.78515625,17085.703125,17222.22265625,24200516991,BTC-GBP
2022-10-18 00:00:00+00:00,17221.966796875,17318.5390625,16927.154296875,17045.68359375,26960072803,BTC-GBP
2022-10-19 00:00:00+00:00,17046.22265625,17063.677734375,17064.517578125,17078.283203125,20010262686,BTC-GBP
2022-10-20 00:00:00+00:00,17076.990234375,17084.099609375,16931.36328125,16978.693359375,21826458135,BTC-GBP
2022-10-21 00:00:00+00:00,16978.21484375,17015.4296875,16938.7734375,16960.04296875,28713615883,BTC-GBP
2022-10-22 00:00:00+00:00,16959.96484375,17026.91796875,16924.458984375,16991.642578125,14246052889,BTC-GBP
2022-10-23 00:00:00+00:00,16991.23828125,17324.0234375,16917.341796875,17260.8203125,19520672506,BTC-GBP
2022-10-24 00:00:00+00:00,17261.4921875,17287.1875,17002.744140625,17110.810546875,26713333929,BTC-GBP
2022-10-25 00:00:00+00:00,17110.2734375,17733.701171875,17014.310546875,17534.37890625,41673697660,BTC-GBP
2022-10-26 00:00:00+00:00,17531.220703125,18026.2890625,17533.87890625,17845.048828125,50600809280,BTC-GBP
2022-10-27 00:00:00+00:00,17847.078125,17923.92578125,17506.578125,17540.412109375,42908996836,BTC-GBP
2022-10-28 00:00:00+00:00,17542.244140625,17884.20703125,17449.83203125,17733.978515625,37882398045,BTC-GBP
2022-10-29 00:00:00+00:00,17733.763671875,18072.4140625,17709.12109375,17926.103515625,34761137575,BTC-GBP
2022-10-30 00:00:00+00:00,17925.677734375,18010.943359375,17720.173828125,17796.990234375,27155115347,BTC-GBP
2022-10-31 00:00:00+00:00,17795.345703125,18002.73828125,17659.625,17872.787109375,39823953438,BTC-GBP
2022-11-01 00:00:00+00:00,17872.021484375,17908.384765625,17705.857421875,17829.705078125,34657407433,BTC-GBP
2022-11-02 00:00:00+00:00,17827.69140625,17949.791015625,17641.04296875,17709.17578125,48799969939,BTC-GBP
2022-11-03 00:00:00+00:00,17711.974609375,17863.888671875,17963.125,18092.22265625,38698895906,BTC-GBP
2022-11-04 00:00:00+00:00,18091.1328125,18749.740234375,18052.7109375,18582.810546875,56302948595,BTC-GBP
2022-11-05 00:00:00+00:00,18580.703125,18846.12890625,18539.23046875,18705.953125,33263950933,BTC-GBP
2022-11-06 00:00:00+00:00,18708.033203125,18761.048828125,18462.884765625,18468.439453125,30961844983,BTC-GBP
2022-11-07 00:00:00+00:00,18466.79296875,18589.806640625,17798.14453125,17894.92578125,46477760394,BTC-GBP
2022-11-08 00:00:00+00:00,17893.064453125,17944.689453125,15281.654296875,16050.1962890625,103005470875,BTC-GBP
2022-11-09 00:00:00+00:00,16052.3515625,16113.857421875,13801.130859375,13969.369140625,90519487559,BTC-GBP
2022-11-10 00:00:00+00:00,13971.4609375,15412.189453125,13931.845703125,15038.5537109375,71146772023,BTC-GBP
2022-11-11 00:00:00+00:00,15035.544921875,15126.48828125,14110.2998046875,14403.380859375,47242357065,BTC-GBP
2022-11-12 00:00:00+00:00,14405.564453125,14448.5966796875,14097.3427734375,14191.498046875,25104710092,BTC-GBP
2022-11-13 00:00:00+00:00,14191.9521484375,14294.20703125,13827.2333984375,13862.666015625,23065088962,BTC-GBP
2022-11-14 00:00:00+00:00,13861.533203125,14525.28515625,13511.6513671875,14140.42578125,42230373815,BTC-GBP
2022-11-15 00:00:00+00:00,14139.8173828125,14324.466796875,14079.8447265625,14213.0966796875,30808600191,BTC-GBP
2022-11-16 00:00:00+00:00,14212.8671875,14305.0419921875,13813.55078125,13991.111328125,28474599040,BTC-GBP
2022-11-17 00:00:00+00:00,13991.939453125,14045.3076171875,13855.87890625,14071.6328125,23500266667,BTC-GBP
2022-11-18 00:00:00+00:00,14071.96484375,14254.4248046875,13937.927734375,14042.36328125,22590373708,BTC-GBP
2022-11-19 00:00:00+00:00,14041.0537109375,14129.517578125,13930.5625,14056.9013671875,13547733784,BTC-GBP
2022-11-20 00:00:00+00:00,14058.056640625,14086.537109375,13654.0205078125,13707.7685546875,17932842350,BTC-GBP
2022-11-21 00:00:00+00:00,13707.2568359375,13707.2568359375,13195.296875,13349.080078125,31648838345,BTC-GBP
2022-11-22 00:00:00+00:00,13344.8671875,13680.3037109375,13228.015625,13612.0185546875,25834472358,BTC-GBP
2022-11-23 00:00:00+00:00,13616.9111328125,13803.7431640625,13594.34765625,13754.3291015625,27291267375,BTC-GBP
2022-11-24 00:00:00+00:00,13755.1005859375,13880.291015625,13598.1826171875,13708.6796875,21572185547,BTC-GBP
2022-11-25 00:00:00+00:00,13706.8671875,13709.0595703125,13541.6572265625,13662.3232421875,15445516823,BTC-GBP
2022-11-26 00:00:00+00:00,13662.10546875,13784.529296875,13577.2392578125,13616.9814453125,14887123249,BTC-GBP
2022-11-27 00:00:00+00:00,13616.65234375,13747.8837890625,13635.712890625,13642.2978515625,16960053764,BTC-GBP
2022-11-28 00:00:00+00:00,13638.6435546875,13656.2255859375,13351.1884765625,13559.6923828125,23196609166,BTC-GBP
2022-11-29 00:00:00+00:00,13559.9580078125,13775.6962890625,13477.994140625,13765.470703125,19739332801,BTC-GBP
2022-11-30 00:00:00+00:00,13765.884765625,14225.65625,13765.884765625,14218.009765625,24449713759,BTC-GBP
2022-12-01 00:00:00+00:00,14217.5439453125,14063.2880859375,13793.658203125,13840.9736328125,18676962534,BTC-GBP
2022-12-02 00:00:00+00:00,13842.2373046875,13899.728515625,13856.470703125,13899.728515625,15893381214,BTC-GBP
2022-12-03 00:00:00+00:00,13900.8984375,13915.478515625,13730.193359375,13746.5322265625,13185182202,BTC-GBP
2022-12-04 00:00:00+00:00,13746.4775390625,13964.294921875,13742.6318359375,13931.5556640625,13682726635,BTC-GBP
2022-12-05 00:00:00+00:00,13930.26171875,14085.5498046875,13907.58203125,13922.0732421875,18215004658,BTC-GBP
2022-12-06 00:00:00+00:00,13922.412109375,14089.763671875,13936.9658203125,14085.8349609375,16394049724,BTC-GBP
2022-12-07 00:00:00+00:00,14085.837890625,14110.53125,13808.40625,13798.7509765625,16114313598,BTC-GBP
2022-12-08 00:00:00+00:00,13798.1142578125,14106.8857421875,13800.498046875,14087.17578125,16754559316,BTC-GBP
2022-12-09 00:00:00+00:00,14086.091796875,14079.0654296875,13951.033203125,13969.4296875,16574680796,BTC-GBP
